GeneName,d0_siRNA,dm_siRNA,dm_NC,dm_PPARG,ins_siRNA,ins_NC,ins_PPARG
3110043O21Rik,+,+,+,=,+,+,=
3110045C21Rik,=,=,+,+,+,=,-
3110056K07Rik,=,=,=,=,=,=,-
3110062M04Rik,=,=,=,=,=,=,=
3110070M22Rik,=,-,=,=,-,=,=
3110082I17Rik,=,=,=,=,-,-,=
3110083C13Rik,=,=,-,=,-,=,=
3300002I08Rik,=,=,=,=,=,=,=
3632451O06Rik,=,-,-,-,-,=,=
3830406C13Rik,=,=,=,=,=,=,=
3830408C21Rik,=,=,=,=,-,-,=
3930402G23Rik,+,=,=,+,+,+,=
4430402I18Rik,=,=,-,-,+,+,+
4631405J19Rik,=,+,=,=,+,+,+
4632404H12Rik,=,=,=,=,=,=,=
4632415L05Rik,=,=,-,=,-,=,=
4632427E13Rik,=,-,=,=,-,=,=
4632428C04Rik,=,+,=,=,+,+,=
4732414G09Rik,=,-,-,=,-,=,=
4732440D04Rik,=,=,=,=,+,+,=
4732471J01Rik,=,=,=,=,+,+,=
4833418N02Rik,=,=,-,-,=,=,=
4833420G17Rik,=,=,=,=,-,=,=
4833427G06Rik,=,=,-,-,-,=,+
4833439L19Rik,=,=,=,+,=,=,=
4833445I07Rik,=,=,+,+,=,=,=
4921524J17Rik,=,=,=,=,=,=,=
4921531C22Rik,=,=,=,=,=,=,=
4930402H24Rik,=,=,=,=,+,+,=
4930404A12Rik,=,=,=,=,=,=,=
4930404N11Rik,=,=,=,=,+,+,=
4930405A21Rik,=,=,=,=,=,=,=
4930412C18Rik,=,=,=,=,+,+,=
4930412F12Rik,=,-,=,=,-,=,=
4930415O20Rik,=,=,=,=,=,=,=
4930426L09Rik,=,=,=,=,-,=,=
4930427A07Rik,=,=,+,+,-,-,=
4930429P21Rik,=,=,=,=,+,=,=
4930430F08Rik,=,=,+,=,=,=,=
4930452B06Rik,=,=,=,+,-,=,=
4930453N24Rik,=,=,=,=,+,=,=
4930458D05Rik,=,+,=,=,+,+,+
4930480K23Rik,=,=,=,=,=,=,=
4930481A15Rik,=,=,=,=,+,=,=
4930503L19Rik,=,=,=,=,-,=,=
